Samples,Jn Estimate,Jn Error Rate,Kn Estimate,Kn Error Rate
580,0.998121,0.00187911,3.01791,-0.0179099
581,0.998124,0.00187588,3.01788,-0.0178791
582,0.998127,0.00187265,3.01785,-0.0178483
583,0.998131,0.00186944,3.01782,-0.0178177
584,0.998134,0.00186624,3.01779,-0.0177872
585,0.998137,0.00186305,3.01776,-0.0177568
586,0.99814,0.00185987,3.01773,-0.0177265
587,0.998143,0.0018567,3.0177,-0.0176963
588,0.998146,0.00185354,3.01767,-0.0176662
589,0.99815,0.0018504,3.01764,-0.0176362
590,0.998153,0.00184726,3.01761,-0.0176063
591,0.998156,0.00184413,3.01758,-0.0175765
592,0.998159,0.00184102,3.01755,-0.0175468
593,0.998162,0.00183792,3.01752,-0.0175173
594,0.998165,0.00183482,3.01749,-0.0174878
595,0.998168,0.00183174,3.01746,-0.0174584
596,0.998171,0.00182866,3.01743,-0.0174291
597,0.998174,0.0018256,3.0174,-0.0173999
598,0.998177,0.00182255,3.01737,-0.0173708
599,0.99818,0.00181951,3.01734,-0.0173418
600,0.998184,0.00181647,3.01731,-0.0173129
601,0.998187,0.00181345,3.01728,-0.0172841
602,0.99819,0.00181044,3.01726,-0.0172554
603,0.998193,0.00180744,3.01723,-0.0172268
604,0.998196,0.00180444,3.0172,-0.0171982
605,0.998199,0.00180146,3.01717,-0.0171698
606,0.998202,0.00179849,3.01714,-0.0171415
607,0.998204,0.00179553,3.01711,-0.0171132
608,0.998207,0.00179257,3.01709,-0.0170851
609,0.99821,0.00178963,3.01706,-0.017057
610,0.998213,0.00178669,3.01703,-0.0170291
611,0.998216,0.00178377,3.017,-0.0170012
612,0.998219,0.00178086,3.01697,-0.0169734
613,0.998222,0.00177795,3.01695,-0.0169457
614,0.998225,0.00177505,3.01692,-0.0169181
615,0.998228,0.00177217,3.01689,-0.0168906
616,0.998231,0.00176929,3.01686,-0.0168632
617,0.998234,0.00176642,3.01684,-0.0168359
618,0.998236,0.00176357,3.01681,-0.0168086
619,0.998239,0.00176072,3.01678,-0.0167815
620,0.998242,0.00175788,3.01675,-0.0167544
621,0.998245,0.00175505,3.01673,-0.0167274
622,0.998248,0.00175222,3.0167,-0.0167005
623,0.998251,0.00174941,3.01667,-0.0166737
624,0.998253,0.00174661,3.01665,-0.016647
625,0.998256,0.00174381,3.01662,-0.0166204
626,0.998259,0.00174103,3.01659,-0.0165938
627,0.998262,0.00173825,3.01657,-0.0165674
628,0.998265,0.00173548,3.01654,-0.016541
629,0.998267,0.00173272,3.01651,-0.0165147
630,0.99827,0.00172997,3.01649,-0.0164885
631,0.998273,0.00172723,3.01646,-0.0164623
632,0.998276,0.0017245,3.01644,-0.0164363
633,0.998278,0.00172178,3.01641,-0.0164103
634,0.998281,0.00171906,3.01638,-0.0163844
635,0.998284,0.00171635,3.01636,-0.0163586
636,0.998286,0.00171365,3.01633,-0.0163329
637,0.998289,0.00171096,3.01631,-0.0163073
638,0.998292,0.00170828,3.01628,-0.0162817
639,0.998294,0.00170561,3.01626,-0.0162562
640,0.998297,0.00170294,3.01623,-0.0162308
641,0.9983,0.00170029,3.01621,-0.0162055
642,0.998302,0.00169764,3.01618,-0.0161803
643,0.998305,0.001695,3.01616,-0.0161551
644,0.998308,0.00169237,3.01613,-0.01613
645,0.99831,0.00168974,3.01611,-0.016105
646,0.998313,0.00168713,3.01608,-0.0160801
647,0.998315,0.00168452,3.01606,-0.0160552
648,0.998318,0.00168192,3.01603,-0.0160305
649,0.998321,0.00167933,3.01601,-0.0160058
650,0.998323,0.00167674,3.01598,-0.0159811
651,0.998326,0.00167417,3.01596,-0.0159566
652,0.998328,0.0016716,3.01593,-0.0159321
653,0.998331,0.00166904,3.01591,-0.0159077
654,0.998334,0.00166649,3.01588,-0.0158834
655,0.998336,0.00166394,3.01586,-0.0158591
656,0.998339,0.00166141,3.01583,-0.015835
657,0.998341,0.00165888,3.01581,-0.0158109
658,0.998344,0.00165636,3.01579,-0.0157868
659,0.998346,0.00165384,3.01576,-0.0157629
660,0.998349,0.00165134,3.01574,-0.015739
661,0.998351,0.00164884,3.01572,-0.0157152
662,0.998354,0.00164635,3.01569,-0.0156914
663,0.998356,0.00164387,3.01567,-0.0156678
664,0.998359,0.00164139,3.01564,-0.0156442
665,0.998361,0.00163892,3.01562,-0.0156207
666,0.998364,0.00163646,3.0156,-0.0155972
667,0.998366,0.00163401,3.01557,-0.0155738
